"date","rank","code","name","sector","close","turnover","turnover_ma"
"2000-04-21","1","2914","日本たばこ産業","食料品","349.066375732422","1164834495819.09","1078735170843.51"
"2000-04-21","2","9432","ＮＴＴ","情報・通信業","69.9963836669922","194239964675.903","376639731216.43"
"2000-04-21","3","6857","アドバンテスト","電気機器","2233.79907226563","107905004465.235","55321045267.2657"
"2000-04-21","4","6758","ソニーグループ","電気機器","2032.34448242188","50901083734.4972","47584334691.7725"
"2000-04-21","5","6971","京セラ","電気機器","1538.61450195313","85699596867.1878","32150661276.6016"
"2000-04-21","6","8035","東京エレクトロン","電気機器","3890.873046875","74004405351.5625","27096517692.627"
"2000-04-21","7","6762","ＴＤＫ","電気機器","719.909606933594","63690402925.4151","24459437216.8579"
"2000-04-21","8","9433","ＫＤＤＩ","情報・通信業","641.417175292969","59696439937.6465","23813006354.8975"
"2000-04-21","9","6954","ファナック","電気機器","1760.68798828125","53497624179.9316","20037976225.4517"
"2000-04-21","10","6702","富士通","電気機器","2193.44067382813","16071339817.1387","17962507248.2911"
"2000-04-24","1","2914","日本たばこ産業","食料品","370.313903808594","536770003570.557","847524718325.805"
"2000-04-24","2","9432","ＮＴＴ","情報・通信業","71.0257263183594","245038755798.34","285224952850.342"
"2000-04-24","3","9984","ソフトバンクグループ","情報・通信業","699.765197753906","261805672590.381","154731839968.037"
"2000-04-24","4","6857","アドバンテスト","電気機器","2276.79272460938","82809683545.3127","63591813590.3907"
"2000-04-24","5","6758","ソニーグループ","電気機器","2098.43701171875","28553432418.457","39577614717.627"
"2000-04-24","6","6971","京セラ","電気機器","1490.28137207031","23925573259.7656","33091358337.2657"
"2000-04-24","7","8035","東京エレクトロン","電気機器","3734.40576171875","25700180452.1484","28716484851.416"
"2000-04-24","8","6762","ＴＤＫ","電気機器","705.199279785156","22287823237.6099","26222356097.168"
"2000-04-24","9","9433","ＫＤＤＩ","情報・通信業","591.377685546875","19361468873.7305","24680421772.8809"
"2000-04-24","10","6954","ファナック","電気機器","1538.9716796875","19046313507.8125","21383900380.2002"
"2000-04-25","1","2914","日本たばこ産業","食料品","358.172302246094","383423449554.444","710830276919.556"
"2000-04-25","2","9432","ＮＴＴ","情報・通信業","69.9963836669922","211739060592.651","249176815261.841"
"2000-04-25","3","9984","ソフトバンクグループ","情報・通信業","773.038879394531","127425255154.98","179683721918.877"
"2000-04-25","4","6857","アドバンテスト","電気機器","2196.4130859375","61453881014.0625","68558306089.4532"
"2000-04-25","5","6758","ソニーグループ","電気機器","2098.43701171875","29303623650.1465","37242998336.7188"
"2000-04-25","6","6971","京セラ","電気機器","1484.64208984375","13868932546.4844","33071115480.4688"
"2000-04-25","7","8035","東京エレクトロン","電気機器","3619.66064453125","17993333063.9648","30434029343.2617"
"2000-04-25","8","6762","ＴＤＫ","電気機器","644.129638671875","13777932971.1914","26484559495.9717"
"2000-04-25","9","9433","ＫＤＤＩ","情報・通信業","573.181335449219","13107052233.9844","25084170899.9854"
"2000-04-25","10","6954","ファナック","電気機器","1554.6220703125","8529433988.76953","20979059372.937"
"2000-04-26","1","2914","日本たばこ産業","食料品","356.871520996094","311370402069.092","631000981405.639"
"2000-04-26","2","9432","ＮＴＴ","情報・通信業","70.5110778808594","192142687225.342","230681842193.603"
