date,action,code,name
2021-12-29,remove,9062,日本通運
2022-01-05,add,9147,NIPPON EXPRESSホールディングス
2022-04-04,remove,8303,新生銀行
2022-04-04,add,8591,オリックス
2022-09-29,remove,8355,静岡銀行
2022-09-29,add,6594,日本電産
2022-10-03,remove,3103,ユニチカ
2022-10-03,remove,6703,OKI
2022-10-03,add,6273,SMC
2022-10-03,add,7741,HOYA
2022-10-04,remove,1333,マルハニチロ
2022-10-04,add,5831,しずおかフィナンシャルグループ
2023-04-03,remove,3101,東洋紡
2023-04-03,remove,5703,日本軽金属ホールディングス
2023-04-03,remove,5707,東邦亜鉛
2023-04-03,add,4661,オリエンタルランド
2023-04-03,add,6723,ルネサスエレクトロニクス
2023-04-03,add,9201,日本航空
2023-10-02,remove,5202,日本板硝子
2023-10-02,remove,7003,三井E&S
2023-10-02,remove,8628,松井証券
2023-10-02,add,4385,メルカリ
2023-10-02,add,6920,レーザーテック
2023-10-02,add,9843,ニトリホールディングス
2024-04-01,remove,2531,宝ホールディングス
2024-04-01,remove,5232,住友大阪セメント
2024-04-01,remove,5541,大平洋金属
2024-04-01,add,3092,ZOZO
2024-04-01,add,6146,ディスコ
2024-04-01,add,6526,ソシオネクスト
2024-10-01,remove,3863,日本製紙
2024-10-01,remove,4631,DIC
2024-10-01,add,4307,野村総合研究所
2024-10-01,add,7453,良品計画
2025-04-01,remove,9301,三菱倉庫
2025-04-01,add,6532,ベイカレント
2025-07-04,remove,9613,NTTデータグループ
2025-07-04,add,6963,ローム
2025-10-01,remove,7762,シチズン時計
2025-10-01,add,3697,SHIFT
2025-11-05,remove,6594,ニデック
2025-11-05,add,4062,イビデン
2026-04-01,remove,6674,ジーエス・ユアサ コーポレーション
2026-04-01,remove,6952,カシオ計算機
2026-04-01,remove,7205,日野自動車
2026-04-01,add,285A,キオクシアホールディングス
2026-04-01,add,543A,ARCHION
2026-04-01,add,7532,パン・パシフィック・インターナショナルホールディングス
